"","Year","Month","Province","ah_mean","rh_mean","t2m_mean","tp_mean","extremeTP","extremeHeat","spi"
"178",2003,3,"Nakhon Pathom",30.01587546,0.744137551,302.1844571,0.00016898,4,7,1.74632621860418
"179",2003,3,"Nakhon Phanom",25.11950902,0.715416689,298.8346825,7.15e-05,0,0,0.795956149970807
"180",2003,3,"Nakhon Ratchasima",26.91530793,0.726743846,300.1881136,0.000122378,3,0,1.52611977662282
"181",2003,3,"Nakhon Sawan",29.4405695,0.698739616,301.7417796,0.000158005,5,8,1.85307550877272
"182",2003,3,"Nakhon Si Thammarat",27.37258156,0.77765639,300.6438027,0.000112494,1,2,0.276054245040541
"183",2003,3,"Nan",23.67316879,0.703770838,297.7549423,9.99e-05,0,0,1.25184118926859
"184",2003,3,"Narathiwat",25.35767856,0.825377432,299.3082358,0.000147444,2,0,0.40934052770909
"185",2003,3,"Nong Bua Lam Phu",25.89428966,0.697793576,299.4306134,6.54e-05,0,0,1.17910464664953
"186",2003,3,"Nong Khai",24.78971779,0.7159483,298.6292168,6.36e-05,0,0,0.586178493552263
"187",2003,3,"Nonthaburi",30.12890378,0.747050406,302.272445,0.000163554,3,6,1.80092334471324
"188",2003,3,"Pathum Thani",29.58979648,0.756185344,301.9483102,0.000167338,3,5,1.82824905515215
"189",2003,3,"Pattani",27.42617826,0.775793657,300.6861827,0.000108625,1,0,0.440556597631636
"190",2003,3,"Phangnga",28.19297263,0.750748144,301.2103403,0.000104451,2,1,0.15755316742876
"191",2003,3,"Phatthalung",26.77845471,0.821132709,300.3271676,0.000148394,2,0,0.381950739800598
"192",2003,3,"Phayao",24.0800575,0.698381108,298.0139328,0.000105549,1,0,1.24605935982074
"193",2003,3,"Phetchabun",26.16974799,0.728496312,299.6711983,0.000128736,2,1,1.58654217212838
"194",2003,3,"Phetchaburi",26.11038667,0.754706029,299.7541033,0.000149716,2,0,1.46007385139535
"195",2003,3,"Phichit",29.58723656,0.693182389,301.8257827,0.000128431,3,2,1.3720505778319
"196",2003,3,"Phitsanulok",26.54679425,0.725983333,299.8918479,0.000143663,3,1,1.58069745716661
"197",2003,3,"Phra Nakhon Si Ayutthaya",30.03799356,0.740759725,302.1818104,0.000154102,2,5,1.83401822733551
"198",2003,3,"Phrae",25.92410157,0.719657632,299.3620136,9.56e-05,1,0,1.275952774961
"199",2003,3,"Phuket",28.16193704,0.766327437,301.3351385,0.000125597,1,0,0.385207210967923
"200",2003,3,"Prachin Buri",27.3386553,0.773020465,300.5420738,0.000107757,1,0,1.35359818570283
"201",2003,3,"Prachuap Khiri Khan",26.46084112,0.786589587,300.0625449,0.00015245,3,0,1.26315891081857
"202",2003,3,"Ranong",27.26331206,0.772645542,300.5653159,9.53e-05,1,0,0.260895911000563
"203",2003,3,"Ratchaburi",28.11711279,0.732553939,301.0166964,0.000128817,1,9,1.81280873954769
"204",2003,3,"Rayong",27.27757552,0.820118493,300.6410146,0.000133755,2,0,0.872818365733103
"205",2003,3,"Roi Et",27.44455843,0.687296217,300.4111295,7.39e-05,0,3,0.890437121056639
"206",2003,3,"Sa Kaeo",27.58299744,0.76636025,300.7175014,0.000160182,2,0,1.80480373484133
"207",2003,3,"Sakon Nakhon",25.56664049,0.701348912,299.17106,7.15e-05,1,0,0.815338637227229
"208",2003,3,"Samut Prakan",29.50390943,0.760316076,302.021568,0.000124292,2,3,1.64529869222934
"209",2003,3,"Samut Sakhon",29.19087885,0.763989476,301.85245,0.000162425,3,3,1.69450200111047
"210",2003,3,"Samut Songkhram",29.36202152,0.740285939,301.9302424,0.000138424,3,10,1.71147203858622
"211",2003,3,"Saraburi",28.73600924,0.732390459,301.3931618,0.0001328,3,5,1.73091369715754
"212",2003,3,"Satun",27.83326028,0.759685416,300.9236719,0.000165587,2,0,0.536930338196479
"213",2003,3,"Si Sa Ket",28.4824096,0.676244487,301.1872215,8.96e-05,2,3,1.2036879178409
