"","Year","Month","Province","DF","ENCEP","INFLUENZA","MALARIA","PNEU","CHOL","TB","LEPTO","MELIOID"
"206",2003,11,"Sa Kaeo",2,0,4,1,36,0,48,3,6
"207",2003,11,"Sakon Nakhon",3,1,4,0,70,0,72,5,5
"208",2003,11,"Samut Prakan",5,0,6,0,60,1,64,3,7
"209",2003,11,"Samut Sakhon",29,0,8,6,25,0,55,4,1
"210",2003,11,"Samut Songkhram",2,0,36,5,25,0,42,4,3
"211",2003,11,"Saraburi",2,1,2,16,103,0,48,35,4
"212",2003,11,"Satun",3,0,19,4,37,35,40,60,2
"213",2003,11,"Si Sa Ket",11,1,79,2,69,0,45,29,3
"214",2003,11,"Sing Buri",3,0,21,6,43,0,29,9,2
"215",2003,11,"Songkhla",27,1,48,3,151,0,37,6,5
"216",2003,11,"Sukhothai",9,0,12,1,102,0,42,2,9
"217",2003,11,"Suphan Buri",16,5,14,7,51,0,45,0,0
"218",2003,11,"Surat Thani",13,1,208,2,164,0,19,0,0
"219",2003,11,"Surin",49,0,12,7,173,0,24,0,0
"220",2003,11,"Tak",6,0,36,3,138,0,22,0,0
"221",2003,11,"Trang",4,0,162,7,125,0,13,0,1
"222",2003,11,"Trat",2,0,0,19,9,0,12,1,0
"223",2003,11,"Ubon Ratchathani",5,2,8,27,352,0,13,0,1
"224",2003,11,"Udon Thani",3,0,15,14,134,0,13,0,0
"225",2003,11,"Uthai Thani",2,1,26,19,84,0,8,0,0
"226",2003,11,"Uttaradit",2,0,0,4,84,0,8,0,0
"227",2003,11,"Yala",32,0,14,10,252,0,10,0,0
"228",2003,11,"Yasothon",0,0,3,7,26,0,6,0,0
"229",2003,12,"Amnat Charoen",0,0,0,1,15,0,26,3,1
"230",2003,12,"Ang Thong",9,0,1,2,29,0,9,6,0
"231",2003,12,"Bangkok",80,0,36,0,417,0,3,0,0
"232",2003,12,"Buri Ram",1,0,30,0,142,0,2,3,0
"233",2003,12,"Chachoengsao",1,0,23,0,138,0,1,11,0
"234",2003,12,"Chai Nat",13,0,0,2,13,0,10,8,0
"235",2003,12,"Chaiyaphum",2,1,23,1,139,0,1,24,0
"236",2003,12,"Chanthaburi",5,1,24,0,66,0,4,35,0
"237",2003,12,"Chiang Mai",11,0,20,0,132,0,10,19,0
"238",2003,12,"Chiang Rai",1,0,14,0,240,0,4,13,0
"239",2003,12,"Chon Buri",0,0,29,1,70,0,3,9,0
"240",2003,12,"Chumphon",5,0,11,1,89,0,3,10,0
"241",2003,12,"Kalasin",0,0,3,1,83,0,23,0,0
"242",2003,12,"Kamphaeng Phet",3,0,4,1,48,0,45,1,0
"243",2003,12,"Kanchanaburi",8,0,21,0,86,0,24,0,0
"244",2003,12,"Khon Kaen",5,0,6,1,231,0,18,0,0
"245",2003,12,"Krabi",8,0,50,1,102,0,8,0,0
"246",2003,12,"Lampang",4,0,8,5,182,0,8,0,0
"247",2003,12,"Lamphun",4,0,6,0,82,0,16,2,0
"248",2003,12,"Loei",0,1,2,2,45,0,14,0,0
"249",2003,12,"Lop Buri",0,0,11,1,74,0,12,0,0
"250",2003,12,"Mae Hong Son",0,0,0,0,32,0,19,1,0
"251",2003,12,"Maha Sarakham",0,0,15,0,78,0,10,1,0
"252",2003,12,"Mukdahan",0,0,1,1,10,0,21,0,0
"253",2003,12,"Nakhon Nayok",2,0,1,134,5,0,12,0,0
"254",2003,12,"Nakhon Pathom",15,0,16,47,91,0,8,1,0
"255",2003,12,"Nakhon Phanom",1,0,11,60,41,0,2,0,0
"256",2003,12,"Nakhon Ratchasima",3,0,23,78,273,0,9,0,0
"257",2003,12,"Nakhon Sawan",7,0,11,314,79,0,6,0,0
"258",2003,12,"Nakhon Si Thammarat",2,0,8,312,65,0,3,0,0
"259",2003,12,"Nan",0,1,17,180,35,0,2,0,0
"260",2003,12,"Narathiwat",16,0,105,102,245,0,6,2,0
"261",2003,12,"Nong Bua Lam Phu",0,0,11,77,45,0,1,1,0
"262",2003,12,"Nong Khai",0,0,1,49,2,0,4,2,0
"263",2003,12,"Nonthaburi",5,0,17,77,33,0,7,0,0
"264",2003,12,"Pathum Thani",1,0,6,62,75,0,0,0,0
"265",2003,12,"Pattani",1,0,1,0,3,0,16,6,1
"266",2003,12,"Phangnga",1,0,8,0,14,0,21,4,1
"267",2003,12,"Phatthalung",19,1,28,0,98,0,16,9,1
"268",2003,12,"Phayao",1,1,7,0,70,0,18,4,0
"269",2003,12,"Phetchabun",1,0,33,0,69,0,21,11,2
"270",2003,12,"Phetchaburi",1,0,19,1,27,0,19,12,3
"271",2003,12,"Phichit",11,0,2,0,50,0,19,14,0
"272",2003,12,"Phitsanulok",4,0,8,0,42,0,25,19,0
"273",2003,12,"Phra Nakhon Si Ayutthaya",1,0,0,0,3,0,24,32,0
"274",2003,12,"Phrae",1,0,0,0,14,0,14,25,2
"275",2003,12,"Phuket",0,1,5,0,39,0,3,0,1
"276",2003,12,"Prachin Buri",0,0,2,0,18,0,8,2,1
"277",2003,12,"Prachuap Khiri Khan",6,0,20,2,47,0,25,0,0
"278",2003,12,"Ranong",1,0,1,4,21,0,34,0,0
"279",2003,12,"Ratchaburi",6,0,53,0,81,0,19,0,0
"280",2003,12,"Rayong",8,1,14,1,85,0,7,0,0
"281",2003,12,"Roi Et",13,0,10,3,108,0,16,0,0
"282",2003,12,"Sa Kaeo",2,0,0,3,37,0,17,0,0
"283",2003,12,"Sakon Nakhon",2,0,1,3,53,0,15,0,0
"284",2003,12,"Samut Prakan",1,0,3,9,61,0,5,0,0
"285",2003,12,"Samut Sakhon",17,0,12,0,17,0,3,4,0
"286",2003,12,"Samut Songkhram",0,0,22,2,22,0,9,2,0
"287",2003,12,"Saraburi",3,0,0,2,29,0,5,2,0
"288",2003,12,"Satun",0,0,19,3,24,0,7,0,0
"289",2003,12,"Si Sa Ket",21,0,81,2,43,1,24,0,0
"290",2003,12,"Sing Buri",2,0,19,1,31,0,9,0,0
"291",2003,12,"Songkhla",22,0,44,0,137,0,13,0,0
"292",2003,12,"Sukhothai",2,0,18,0,112,0,11,0,0
"293",2003,12,"Suphan Buri",9,0,10,2,38,0,8,0,0
"294",2003,12,"Surat Thani",5,0,143,3,103,0,11,1,0
"295",2003,12,"Surin",6,0,17,1,142,0,5,0,0
"296",2003,12,"Tak",1,0,16,0,72,0,6,2,0
"297",2003,12,"Trang",7,0,85,1,85,0,6,0,0
"298",2003,12,"Trat",0,0,0,0,0,0,7,1,0
"299",2003,12,"Ubon Ratchathani",2,0,8,0,292,1,3,1,0
"300",2003,12,"Udon Thani",0,0,8,0,76,0,0,0,0
"301",2003,12,"Uthai Thani",3,1,17,8,81,0,30,0,0
"302",2003,12,"Uttaradit",3,0,2,2,65,0,22,0,0
"303",2003,12,"Yala",26,0,22,3,213,0,29,0,0
"304",2003,12,"Yasothon",0,0,2,0,29,0,41,0,0
"305",2003,2,"Amnat Charoen",0,0,15,4,33,0,28,0,0
"306",2003,2,"Ang Thong",4,0,3,9,56,0,20,0,0
"307",2003,2,"Bangkok",82,0,56,3,293,0,23,0,0
"308",2003,2,"Buri Ram",17,0,66,2,278,0,19,1,0
"309",2003,2,"Chachoengsao",1,0,19,1,165,0,13,1,0
"310",2003,2,"Chai Nat",7,0,3,3,25,0,32,0,0
"311",2003,2,"Chaiyaphum",19,0,26,0,163,0,9,0,0
"312",2003,2,"Chanthaburi",5,0,46,1,88,3,10,0,0
"313",2003,2,"Chiang Mai",3,0,37,2,348,0,16,0,0
"314",2003,2,"Chiang Rai",0,1,23,2,473,0,15,0,0
"315",2003,2,"Chon Buri",5,0,35,8,87,0,9,0,0
"316",2003,2,"Chumphon",15,0,10,4,68,0,17,0,0
"317",2003,2,"Kalasin",12,1,12,1,73,0,16,0,0
"318",2003,2,"Kamphaeng Phet",14,0,16,2,150,0,9,0,0
"319",2003,2,"Kanchanaburi",7,0,39,2,127,1,6,1,0
"320",2003,2,"Khon Kaen",30,1,28,3,273,1,11,0,0
"321",2003,2,"Krabi",8,0,59,0,85,1,1,0,0
"322",2003,2,"Lampang",5,0,5,3,262,123,1,0,0
"323",2003,2,"Lamphun",1,1,18,4,113,34,1,1,0
"324",2003,2,"Loei",0,0,1,0,51,1,1,0,0
